HUOBI,ETH-USD-HUOBI,ethusdt,0.01,0.0001,0.001
HUOBI,BTC-USD-HUOBI,btcusdt,0.01,0.0001,0.001
HUOBI,BCH-USD-HUOBI,bchusdt,0.01,0.0001,0.0001
HUOBI,EOS-USD-HUOBI,eosusdt,0.0001,0.0001,0.0001
HUOBI,XRP-USD-HUOBI,xrpusdt,0.0001,0.01,0.01
HUOBI,ETH-BTC-HUOBI,ethbtc,0.000001,0.0001,0.0001
BINANCE,ETH-BTC-BINANCE,ethbtc,0.000001,0.0001,0.0001
BINANCE,BTC-USD-BINANCE,btcusdt,0.01,0.0001,0.001
BINANCE,ETH-USD-BINANCE,ethusdt,0.01,0.0001,0.001
BINANCE,BCH-USD-BINANCE,bchusdt,0.01,0.0001,0.001
BINANCE,EOS-USD-BINANCE,bchusdt,0.01,0.0001,0.001
BINANCE,XRP-USD-BINANCE,xrpusdt,0.0001,0.01,0.01
